Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
Rio Metro Regional Transit District,Albuquerque,NM,60111,Independent Public Agency or Authority of Transit Service,Full Reporter,1171,"Albuquerque, NM","769,837",61,CR,PT,26.00,0.00,,0.00,,0.00,,0.00,,1009440.00,,0.00,,0.00,,0.00,,458780.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Rio Metro Regional Transit District,Albuquerque,NM,60111,Independent Public Agency or Authority of Transit Service,Full Reporter,1171,"Albuquerque, NM","769,837",61,DR,DO,23.00,0.00,,61119.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1185862.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,19.40,,,,,,,,,,,
Rio Metro Regional Transit District,Albuquerque,NM,60111,Independent Public Agency or Authority of Transit Service,Full Reporter,1171,"Albuquerque, NM","769,837",61,MB,DO,6.00,0.00,,24344.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
River Bend Transit,Davenport,IA,70049,Private-Non-Profit Corporation,Full Reporter,22366,"Davenport, IA--IL","285,211",35,DR,DO,32.00,0.00,,144699.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1080834.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.47,,,,,,,,,,,
River Bend Transit,Davenport,IA,70049,Private-Non-Profit Corporation,Full Reporter,22366,"Davenport, IA--IL","285,211",35,MB,DO,3.00,0.00,,9522.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
River Valley Metro Mass Transit District,Bourbonnais,IL,50159,"City, County or Local Government Unit or Department of Transportation",Full Reporter,43885,"Kankakee, IL","66,530",17,CB,PT,2.00,77.00,,46640.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,55497.00,,1918484.00,,0.00,,0.00,,0.00,,0.00,,0.00,,720.74,,41.13,,,,,,,,,,,
River Valley Metro Mass Transit District,Bourbonnais,IL,50159,"City, County or Local Government Unit or Department of Transportation",Full Reporter,43885,"Kankakee, IL","66,530",17,DR,PT,3.00,16.00,,16002.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,
River Valley Metro Mass Transit District,Bourbonnais,IL,50159,"City, County or Local Government Unit or Department of Transportation",Full Reporter,43885,"Kankakee, IL","66,530",17,MB,PT,12.00,60941.00,,98028.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,314813.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.17,,0.00,,,,,,,,,,,
RiverCities Transit,Longview,WA,16,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51283,"Longview, WA--OR","69,841",21,MB,DO,10.00,0.00,,2055.00,,0.00,,0.00,,71816.00,,0.00,,0.00,,0.00,,342326.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
RiverCities Transit,Longview,WA,16,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51283,"Longview, WA--OR","69,841",21,CB,DO,1.00,0.00,,1276.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,47502.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,37.23,,,,,,,,,,,
RiverCities Transit,Longview,WA,16,"City, County or Local Government Unit or Department of Transportation",Full Reporter,51283,"Longview, WA--OR","69,841",21,DR,PT,10.00,0.00,,12416.00,,18968.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,68269.00,,75529.00,,0.00,,75529.00,,0.00,,0.00,,,,5.50,,3.98,,,,,,,,,
Riverside County Transportation Commission,Riverside,CA,90218,"MPO, COG or Other Planning Agency",Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",33,VP,PT,33.00,0.00,,37985.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,547590.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,14.42,,,,,,,,,,,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",186,DR,PT,53.00,0.00,,250060.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1803568.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.21,,,,,,,,,,,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",186,MB,DO,79.00,0.00,,0.00,,0.00,,1415474.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4865024.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",186,MB,PT,46.00,0.00,,0.00,,0.00,,536067.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3011734.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Riverside Transit Agency,Riverside,CA,90031,Independent Public Agency or Authority of Transit Service,Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",186,CB,DO,8.00,0.00,,0.00,,0.00,,165820.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,708600.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Rock Island County Metropolitan Mass Transit District,Moline,IL,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,22366,"Davenport, IA--IL","285,211",62,DR,PT,3.00,0.00,,12664.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,151203.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,11.94,,,,,,,,,,,
Rock Island County Metropolitan Mass Transit District,Moline,IL,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,22366,"Davenport, IA--IL","285,211",62,FB,PT,3.00,0.00,,0.00,,0.00,,0.00,,9284.00,,0.00,,0.00,,0.00,,13584.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Rock Island County Metropolitan Mass Transit District,Moline,IL,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,22366,"Davenport, IA--IL","285,211",62,MB,DO,47.00,35920.00,,0.00,,0.00,,523332.00,,0.00,,0.00,,0.00,,192714.00,,0.00,,0.00,,0.00,,2108318.00,,0.00,,0.00,,90273.00,,0.00,,,,,,,,,,,,0.47,
Rock Island County Metropolitan Mass Transit District,Moline,IL,50057,Independent Public Agency or Authority of Transit Service,Full Reporter,22366,"Davenport, IA--IL","285,211",62,DR,DO,9.00,0.00,,35115.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,229233.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.53,,,,,,,,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,50392,"Little Rock, AR","461,864",83,SR,DO,2.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,251820.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,23076.00,,0.00,,,,,,,,,,,,0.09,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,50392,"Little Rock, AR","461,864",83,VP,PT,10.00,0.00,,7220.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,144841.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,20.06,,,,,,,,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,50392,"Little Rock, AR","461,864",83,DR,DO,28.00,0.00,,137858.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,981451.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.12,,,,,,,,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,50392,"Little Rock, AR","461,864",83,DR,PT,9.00,0.00,,22031.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,306231.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,13.90,,,,,,,,,,,
Rock Region Metropolitan Transit Authority,North Little Rock,AR,60033,Independent Public Agency or Authority of Transit Service,Full Reporter,50392,"Little Rock, AR","461,864",83,MB,DO,34.00,60411.00,,0.00,,0.00,,428043.00,,0.00,,0.00,,0.00,,0.00,,41297.00,,0.00,,0.00,,1398586.00,,0.00,,0.00,,0.00,,0.68,,,,,,,,,,,,,
Rockford Mass Transit District,Rockford,IL,50058,Independent Public Agency or Authority of Transit Service,Full Reporter,75718,"Rockford, IL","276,443",49,MB,DO,24.00,285056.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1227665.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.31,,,,,,,,,,,,,
Rockford Mass Transit District,Rockford,IL,50058,Independent Public Agency or Authority of Transit Service,Full Reporter,75718,"Rockford, IL","276,443",49,DR,DO,25.00,31163.00,,99282.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,263881.00,,643982.00,,0.00,,0.00,,0.00,,0.00,,0.00,,8.47,,6.49,,,,,,,,,,,
"Rockland Coaches, Inc.",Westwood,NJ,20149,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",33,CB,DO,33.00,283362.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1563294.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.52,,,,,,,,,,,,,
Rogue Valley Transportation District,Medford,OR,34,Independent Public Agency or Authority of Transit Service,Full Reporter,55981,"Medford, OR","171,640",45,DR,PT,17.00,0.00,,34453.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,443928.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,12.88,,,,,,,,,,,
Rogue Valley Transportation District,Medford,OR,34,Independent Public Agency or Authority of Transit Service,Full Reporter,55981,"Medford, OR","171,640",45,MB,DO,28.00,30614.00,,0.00,,0.00,,231869.00,,0.00,,0.00,,0.00,,0.00,,184082.00,,0.00,,0.00,,1059245.00,,0.00,,0.00,,0.00,,6.01,,,,,,,,,,,,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,LR,DO,43.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,26971511.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3498194.00,,0.00,,,,,,,,,,,,0.13,,,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,MB,DO,204.00,13592.00,,8557.00,,0.00,,3325716.00,,0.00,,0.00,,0.00,,195017.00,,78997.00,,51799.00,,0.00,,8640020.00,,0.00,,0.00,,141393.00,,5.81,,6.05,,,,,,,,,,0.72,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,DR,DO,107.00,0.00,,580394.00,,0.00,,65189.00,,0.00,,0.00,,0.00,,53360.00,,0.00,,3149593.00,,0.00,,774267.00,,0.00,,0.00,,51117.00,,,,5.43,,,,,,,,,,0.96,
"Sacramento Regional Transit District, dba: Sacramento RT",Sacramento,CA,90019,Independent Public Agency or Authority of Transit Service,Full Reporter,77068,"Sacramento, CA","1,946,618",367,DR,TN,13.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Saginaw Transit Authority Regional Service,Saginaw,MI,50039,Independent Public Agency or Authority of Transit Service,Full Reporter,77149,"Saginaw, MI","116,058",56,DR,DO,28.00,19974.00,,24218.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,155660.00,,312124.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.79,,12.89,,,,,,,,,,,
Saginaw Transit Authority Regional Service,Saginaw,MI,50039,Independent Public Agency or Authority of Transit Service,Full Reporter,77149,"Saginaw, MI","116,058",56,MB,DO,28.00,142630.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,627247.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.40,,,,,,,,,,,,,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,25,Independent Public Agency or Authority of Transit Service,Full Reporter,78229,"Salem, OR","268,331",149,MB,DO,53.00,206648.00,,0.00,,0.00,,348127.00,,0.00,,0.00,,0.00,,0.00,,991599.00,,0.00,,0.00,,1470085.00,,0.00,,0.00,,0.00,,4.80,,,,,,,,,,,,,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,25,Independent Public Agency or Authority of Transit Service,Full Reporter,78229,"Salem, OR","268,331",149,MB,PT,11.00,0.00,,24678.00,,0.00,,0.00,,44385.00,,0.00,,0.00,,0.00,,102341.00,,426062.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,17.26,,,,,,,,,,,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,25,Independent Public Agency or Authority of Transit Service,Full Reporter,78229,"Salem, OR","268,331",149,VP,PT,42.00,0.00,,14072.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,303961.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,21.60,,,,,,,,,,,
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",Salem,OR,25,Independent Public Agency or Authority of Transit Service,Full Reporter,78229,"Salem, OR","268,331",149,DR,PT,43.00,0.00,,80579.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,558314.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.93,,,,,,,,,,,
San Bernardino County Transportation Authority,San Bernardino,CA,90302,"MPO, COG or Other Planning Agency",Full Reporter,75340,"Riverside--San Bernardino, CA","2,276,703",57,VP,PT,57.00,0.00,,60156.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,919195.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,15.28,,,,,,,,,,,
"San Diego Association of Governments, dba: SANDAG",San Diego,CA,90095,"MPO, COG or Other Planning Agency",Full Reporter,78661,"San Diego, CA","3,070,300",391,VP,PT,391.00,0.00,,478814.00,,0.00,,0.00,,0.00,,0.00,,0.00,,68075.00,,0.00,,9980036.00,,0.00,,0.00,,0.00,,0.00,,204511.00,,,,20.84,,,,,,,,,,3.00,
San Diego Metropolitan Transit System,San Diego,CA,90026,Independent Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",728,CB,PT,9.00,0.00,,0.00,,0.00,,107883.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,493303.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
San Diego Metropolitan Transit System,San Diego,CA,90026,Independent Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",728,MB,PT,289.00,0.00,,65176.00,,349172.00,,3791151.00,,0.00,,0.00,,0.00,,156233.00,,0.00,,39764.00,,0.00,,9196819.00,,0.00,,0.00,,63244.00,,,,0.61,,0.00,,,,,,,,0.40,
San Diego Metropolitan Transit System,San Diego,CA,90026,Independent Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",728,DR,PT,51.00,0.00,,10570.00,,435779.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,306221.00,,5093876.00,,0.00,,5093876.00,,0.00,,0.00,,,,28.97,,11.69,,,,,,,,,
San Diego Metropolitan Transit System,San Diego,CA,90026,Independent Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",728,DR,TX,45.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
San Diego Metropolitan Transit System,San Diego,CA,90026,Independent Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",728,LR,DO,114.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56896708.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,11989853.00,,0.00,,,,,,,,,,,,0.21,,,
San Diego Metropolitan Transit System,San Diego,CA,90026,Independent Public Agency or Authority of Transit Service,Full Reporter,78661,"San Diego, CA","3,070,300",728,MB,DO,220.00,0.00,,0.00,,0.00,,3277301.00,,0.00,,0.00,,0.00,,299540.00,,0.00,,0.00,,0.00,,10547591.00,,0.00,,0.00,,128860.00,,,,,,,,,,,,,,0.43,
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,MG,PT,2.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5655954.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,271635.00,,0.00,,,,,,,,,,,,0.05,,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,YR,DO,12.00,0.00,,0.00,,0.00,,0.00,,311846.00,,0.00,,0.00,,0.00,,1171878.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
San Francisco Bay Area Rapid Transit District,Oakland,CA,90003,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",580,HR,DO,566.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,276078631.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,76194038.00,,0.00,,,,,,,,,,,,0.28,,,
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",San Francisco,CA,90225,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",11,FB,PT,11.00,3609188.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,551575.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.15,,,,,,,,,,,,,
San Joaquin Council,Stockton,CA,99422,"MPO, COG or Other Planning Agency",Full Reporter,85087,"Stockton, CA","414,847",360,VP,PT,360.00,0.00,,391661.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6493992.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,16.58,,,,,,,,,,,
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,DR,DO,14.00,6355.00,,31533.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,83196.00,,243680.00,,0.00,,0.00,,0.00,,0.00,,0.00,,13.09,,7.73,,,,,,,,,,,
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,DR,PT,11.00,6355.00,,9601.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,DR,TX,10.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,CB,DO,5.00,39672.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,11795.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.30,,,,,,,,,,,,,
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,MB,DO,56.00,301361.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,701220.00,,928235.00,,0.00,,0.00,,0.00,,0.00,,0.00,,152756.00,,3.08,,,,,,,,,,,,0.22,
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,CB,PT,5.00,1850.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,145715.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,78.76,,,,,,,,,,,,,
San Joaquin Regional Transit District,Stockton,CA,90012,Independent Public Agency or Authority of Transit Service,Full Reporter,85087,"Stockton, CA","414,847",115,MB,PT,14.00,620.00,,5392.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,76118.00,,211909.00,,0.00,,0.00,,0.00,,0.00,,0.00,,122.77,,39.30,,,,,,,,,,,
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,79147,"San Luis Obispo, CA","56,904",41,MB,DO,22.00,231741.00,,17579.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1302846.00,,135054.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.62,,7.68,,,,,,,,,,,
San Luis Obispo Regional Transit Authority,San Luis Obispo,CA,90206,Independent Public Agency or Authority of Transit Service,Full Reporter,79147,"San Luis Obispo, CA","56,904",41,DR,DO,19.00,0.00,,44760.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,405701.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,9.06,,,,,,,,,,,
San Mateo County Transit District,San Carlos,CA,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",312,DR,PT,74.00,0.00,,177393.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1768379.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,9.97,,,,,,,,,,,
San Mateo County Transit District,San Carlos,CA,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",312,DR,TX,23.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
San Mateo County Transit District,San Carlos,CA,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",312,MB,DO,157.00,1400812.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5938746.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.24,,,,,,,,,,,,,
San Mateo County Transit District,San Carlos,CA,90009,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",312,MB,PT,58.00,524733.00,,4429.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4477806.00,,33448.00,,0.00,,0.00,,0.00,,0.00,,0.00,,8.53,,7.55,,,,,,,,,,,
Santa Barbara Metropolitan Transit District,Santa Barbara,CA,90020,Independent Public Agency or Authority of Transit Service,Full Reporter,79282,"Santa Barbara, CA","202,197",80,MB,DO,80.00,527900.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,153040.00,,2470168.00,,0.00,,0.00,,0.00,,0.00,,0.00,,92664.00,,4.68,,,,,,,,,,,,0.61,
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,DR,PT,121.00,0.00,,350095.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3042428.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,8.69,,,,,,,,,,,
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,LR,DO,30.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,14045933.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1714055.00,,0.00,,,,,,,,,,,,0.12,,,
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,MB,DO,333.00,3853776.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,95613.00,,16218238.00,,0.00,,0.00,,0.00,,0.00,,0.00,,24708.00,,4.21,,,,,,,,,,,,0.26,
Santa Clara Valley Transportation Authority,San Jose,CA,90013,Independent Public Agency or Authority of Transit Service,Full Reporter,79039,"San Jose, CA","1,837,446",496,MB,PT,12.00,0.00,,0.00,,51314.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,222777.00,,0.00,,222777.00,,0.00,,0.00,,,,,,4.34,,,,,,,,,
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,79336,"Santa Cruz, CA","169,038",86,DR,DO,29.00,0.00,,63773.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,547944.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,8.59,,,,,,,,,,,
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,79336,"Santa Cruz, CA","169,038",86,MB,DO,51.00,97085.00,,0.00,,0.00,,477959.00,,0.00,,0.00,,0.00,,54677.00,,417714.00,,0.00,,0.00,,2067903.00,,0.00,,0.00,,62437.00,,4.30,,,,,,,,,,,,1.14,
